KOMCOG_fullCoRE Edges: 80, Vertices: 74,            Beta index:  1.08
BOXYEU_fullCoRE Edges: 57, Vertices: 86,            Beta index:  0.66
HAXMUP_fullCoRE Edges: 139, Vertices: 65,            Beta index:  2.14
NIGGEQ_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
BAWRUO_fullCoRE Edges: 6, Vertices: 14,            Beta index:  0.43
QUBZAP_fullCoRE Edges: 9, Vertices: 54,            Beta index:  0.17
BAXREY_fullCoRE Edges: 4, Vertices: 47,            Beta index:  0.09
DITTEH_fullCoRE Edges: 110, Vertices: 96,            Beta index:  1.15
NIBXUT_fullCoRE Edges: 12, Vertices: 29,            Beta index:  0.41
OLEKUL_fullCoRE Edges: 11, Vertices: 20,            Beta index:  0.55
CAWZUX_fullCoRE Edges: 8, Vertices: 21,            Beta index:  0.38
ZIYPUU_fullCoRE Edges: 30, Vertices: 36,            Beta index:  0.83
FIRNAX01_fullCoRE Edges: 72, Vertices: 74,            Beta index:  0.97
NARPUU_fullCoRE Edges: 1, Vertices: 24,            Beta index:  0.04
PAFMUH_fullCoRE Edges: 84, Vertices: 58,            Beta index:  1.45
YUNKAV_fullCoRE Edges: 88, Vertices: 74,            Beta index:  1.19
XUCLIS_fullCoRE Edges: 12, Vertices: 31,            Beta index:  0.39
AJOVEB_fullCoRE Edges: 22, Vertices: 37,            Beta index:  0.59
LISZOE_fullCoRE Edges: 28, Vertices: 58,            Beta index:  0.48
QIJLAW_fullCoRE Edges: 94, Vertices: 91,            Beta index:  1.03
RUSXAG_fullCoRE Edges: 0, Vertices: 15,            Beta index:  0.00
TEBSAW_fullCoRE Edges: 57, Vertices: 68,            Beta index:  0.84
ATIBOU01_fullCoRE Edges: 121, Vertices: 94,            Beta index:  1.29
GEPDEM_fullCoRE Edges: 108, Vertices: 76,            Beta index:  1.42
QUBWIU_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
KEDQAN_fullCoRE Edges: 27, Vertices: 71,            Beta index:  0.38
HUYKER_fullCoRE Edges: 95, Vertices: 77,            Beta index:  1.23
RAPBOZ_fullCoRE Edges: 138, Vertices: 90,            Beta index:  1.53
NABSEP_fullCoRE Edges: 45, Vertices: 63,            Beta index:  0.71
JADBEY_fullCoRE Edges: 4, Vertices: 34,            Beta index:  0.12
CETFOX_fullCoRE Edges: 0, Vertices: 8,            Beta index:  0.00
NIYZIG_fullCoRE Edges: 107, Vertices: 79,            Beta index:  1.35
HOJPAZ_fullCoRE Edges: 100, Vertices: 94,            Beta index:  1.06
ZERQOE_fullCoRE Edges: 62, Vertices: 66,            Beta index:  0.94
MITGIF_fullCoRE Edges: 55, Vertices: 54,            Beta index:  1.02
UZANOZ_fullCoRE Edges: 0, Vertices: 43,            Beta index:  0.00
KOQLUZ_fullCoRE Edges: 3, Vertices: 7,            Beta index:  0.43
VAZROF_fullCoRE Edges: 72, Vertices: 86,            Beta index:  0.84
ALULEZ_fullCoRE Edges: 85, Vertices: 40,            Beta index:  2.12
HAWWUZ_fullCoRE Edges: 0, Vertices: 7,            Beta index:  0.00
REFJET_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
VOFFED_fullCoRE Edges: 0, Vertices: 3,            Beta index:  0.00
VIMRAM_fullCoRE Edges: 41, Vertices: 53,            Beta index:  0.77
IJENER_fullCoRE Edges: 214, Vertices: 88,            Beta index:  2.43
SATRIP_fullCoRE Edges: 0, Vertices: 4,            Beta index:  0.00
SIFVAG_fullCoRE Edges: 40, Vertices: 64,            Beta index:  0.62
PIBPIA_fullCoRE Edges: 3, Vertices: 73,            Beta index:  0.04
RUWWOW01_fullCoRE Edges: 0, Vertices: 11,            Beta index:  0.00
XESKEN_fullCoRE Edges: 0, Vertices: 13,            Beta index:  0.00
HUXHEP01_fullCoRE Edges: 38, Vertices: 67,            Beta index:  0.57
JOKXUC10_fullCoRE Edges: 106, Vertices: 72,            Beta index:  1.47
